agency_cd,site_no,datetime,tz_cd,Y,177214_00062_cd
USGS,2168500,9/18/2020,EDT,356.21,A
USGS,2168500,9/18/2020,EDT,356.21,A
USGS,2168500,9/18/2020,EDT,356.21,A
USGS,2168500,9/18/2020,EDT,356.21,A
USGS,2168500,9/18/2020,EDT,356.21,A
USGS,2168500,9/18/2020,EDT,356.22,A
USGS,2168500,9/18/2020,EDT,356.22,A
USGS,2168500,9/18/2020,EDT,356.2,A
USGS,2168500,9/18/2020,EDT,356.21,A
USGS,2168500,9/18/2020,EDT,356.21,A
USGS,2168500,9/18/2020,EDT,356.2,A
USGS,2168500,9/18/2020,EDT,356.2,A
USGS,2168500,9/18/2020,EDT,356.21,A
USGS,2168500,9/18/2020,EDT,356.21,A
USGS,2168500,9/18/2020,EDT,356.21,A
USGS,2168500,9/18/2020,EDT,356.21,A
USGS,2168500,9/18/2020,EDT,356.19,A
USGS,2168500,9/18/2020,EDT,356.2,A
USGS,2168500,9/18/2020,EDT,356.21,A
USGS,2168500,9/18/2020,EDT,356.2,A
USGS,2168500,9/18/2020,EDT,356.21,A
USGS,2168500,9/18/2020,EDT,356.22,A
USGS,2168500,9/18/2020,EDT,356.21,A
USGS,2168500,9/18/2020,EDT,356.2,A
USGS,2168500,9/18/2020,EDT,356.2,A
USGS,2168500,9/18/2020,EDT,356.2,A
USGS,2168500,9/18/2020,EDT,356.2,A
USGS,2168500,9/18/2020,EDT,356.21,A
USGS,2168500,9/18/2020,EDT,356.19,A
USGS,2168500,9/18/2020,EDT,356.19,A
USGS,2168500,9/18/2020,EDT,356.2,A
USGS,2168500,9/18/2020,EDT,356.18,A
USGS,2168500,9/18/2020,EDT,356.19,A
USGS,2168500,9/18/2020,EDT,356.17,A
USGS,2168500,9/18/2020,EDT,356.17,A
USGS,2168500,9/18/2020,EDT,356.18,A
USGS,2168500,9/18/2020,EDT,356.18,A
USGS,2168500,9/18/2020,EDT,356.19,A
USGS,2168500,9/18/2020,EDT,356.18,A
USGS,2168500,9/18/2020,EDT,356.19,A
USGS,2168500,9/18/2020,EDT,356.19,A
USGS,2168500,9/18/2020,EDT,356.17,A
USGS,2168500,9/18/2020,EDT,356.19,A
USGS,2168500,9/18/2020,EDT,356.18,A
